fitnessId,exercise,weight130,weight155,weight180,weight205,calories,createdAt,updatedAt
1,"Cycling mountain bike bmx",502,598,695,791,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
2,"Cycling <10 mph leisure bicycling",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
3,"Cycling >20 mph racing",944,1126,1308,1489,3,"2020-11-05 00:37:47","2020-11-05 00:37:47"
4,"Cycling 10-11.9 mph light",354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
5,"Cycling 12-13.9 mph moderate",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
6,"Cycling 14-15.9 mph vigorous",590,704,817,931,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
7,"Cycling 16-19 mph very fast racing",708,844,981,1117,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
8,Unicycling,295,352,409,465,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
9,"Stationary cycling very light",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
10,"Stationary cycling light",325,387,449,512,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
11,"Stationary cycling moderate",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
12,"Stationary cycling vigorous",620,739,858,977,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
13,"Stationary cycling very vigorous",738,880,1022,1163,3,"2020-11-05 00:37:47","2020-11-05 00:37:47"
14,"Calisthenics vigorous pushups situps…",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
15,"Calisthenics light",207,246,286,326,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
16,"Circuit training minimal rest",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
17,"Weight lifting body building vigorous",354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
18,"Weight lifting light workout",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
19,"Health club exercise",325,387,449,512,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
20,"Stair machine",531,633,735,838,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
21,"Rowing machine light",207,246,286,326,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
22,"Rowing machine moderate",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
23,"Rowing machine vigorous",502,598,695,791,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
24,"Rowing machine very vigorous",708,844,981,1117,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
25,"Ski machine",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
26,"Aerobics low impact",295,352,409,465,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
27,"Aerobics high impact",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
28,"Aerobics step aerobics",502,598,695,791,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
29,"Aerobics general",384,457,531,605,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
30,Jazzercise,354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
31,"Stretching hatha yoga",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
32,"Mild stretching",148,176,204,233,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
33,"Instructing aerobic class",354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
34,"Water aerobics",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
35,"Ballet twist jazz tap",266,317,368,419,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
36,"Ballroom dancing slow",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
37,"Ballroom dancing fast",325,387,449,512,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
38,"Running 5 mph (12 minute mile)",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
39,"Running 5.2 mph (11.5 minute mile)",531,633,735,838,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
40,"Running 6 mph (10 min mile)",590,704,817,931,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
41,"Running 6.7 mph (9 min mile)",649,774,899,1024,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
42,"Running 7 mph (8.5 min mile)",679,809,940,1070,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
43,"Running 7.5mph (8 min mile)",738,880,1022,1163,3,"2020-11-05 00:37:47","2020-11-05 00:37:47"
44,"Running 8 mph (7.5 min mile)",797,950,1103,1256,3,"2020-11-05 00:37:47","2020-11-05 00:37:47"
45,"Running 8.6 mph (7 min mile)",826,985,1144,1303,3,"2020-11-05 00:37:47","2020-11-05 00:37:47"
46,"Running 9 mph (6.5 min mile)",885,1056,1226,1396,3,"2020-11-05 00:37:47","2020-11-05 00:37:47"
47,"Running 10 mph (6 min mile)",944,1126,1308,1489,3,"2020-11-05 00:37:47","2020-11-05 00:37:47"
48,"Running 10.9 mph (5.5 min mile)",1062,1267,1471,1675,4,"2020-11-05 00:37:47","2020-11-05 00:37:47"
49,"Running cross country",531,633,735,838,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
50,"Running general",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
51,"Running on a track team practice",590,704,817,931,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
52,"Running stairs up",885,1056,1226,1396,3,"2020-11-05 00:37:47","2020-11-05 00:37:47"
53,"Track and field (shot discus)",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
54,"Track and field (high jump pole vault)",354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
55,"Track and field (hurdles)",590,704,817,931,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
56,Archery,207,246,286,326,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
57,Badminton,266,317,368,419,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
58,"Basketball game competitive",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
59,"Playing basketball non game",354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
60,"Basketball officiating",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
